;Code famille;Code attribut;Attribut lib_x;Format_x;Facet_x;Valeur;Nombre de produits concernes_x;Attribut lib_y;Format_y;Facet_y;Nombre de produits concernes_y
0;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p><strong>visiosat commutateur vne g3-g4</strong> - système de distribution des signaux tv et sat.</p>;1;Description;;0;1
1;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>ajustable pour mâts ou bras de déport ø 35 à 50</p>;1;Description;;0;1
2;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>bride diamètre 8mm + pontets </p>;1;Description;;0;1
3;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>cabelcon den quick c6 dénudeur cable coaxial compact pr 19/17</p>;1;Description;;0;1
4;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>cahors mix sat-tv in - coupleur sat-tv - usage intérieur</p>;1;Description;;0;1
5;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>cahors msv 17.8 a commutateur 17 entrées / 8 sorties</p>;1;Description;;0;1
6;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>cahors msv 5.12 a commutateur 5 entrées / 12 sorties</p>;1;Description;;0;1
7;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>cahors msv 9.12 a commutateur 9 entrées / 12 sorties</p>;1;Description;;0;1
8;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>cahors msv 9.8 a commutateur 9 entrées / 8 sorties</p>;1;Description;;0;1
9;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>cahors vde 220 dérivateur 2 directions 20 db 5-2300 mhz</p>;1;Description;;0;1
10;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>cahors vde 820 dérivateur 8 directions  20 db 5-2300 mhz</p>;1;Description;;0;1
11;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>coupleur 2 entrées fm / vhf-uhf cc rej fm</p>;1;Description;;0;1
12;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>câble d'antenne 75 ohms mâle / femelle et adaptateur mâle / mâle getbl - 681, longueur 2 mètres</p>;1;Description;;0;1
13;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>câble d'antenne fm iec mâle 9,5 mm getbl - 684, longueur 2 mètres</p>;1;Description;;0;1
14;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>câble d'antenne mâle / femelle getbl - 5261, longueur 1,5 mètre</p>;1;Description;;0;2
15;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;"<p>câble satellite mâle type ""f"" double blindage getbl - 826, longueur 10 mètres</p>";1;Description;;0;2
16;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;"<p>câble satellite mâle type ""f"" double blindage getbl - 828, longueur 20 mètres</p>";1;Description;;0;1
17;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>feuillard galvanisé 25 m epaisseur 6/10 mm, largeur 40 mm</p>;1;Description;;0;1
18;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>fixation de cheminée simple, à étrier, pour mâts de ø 30 à 50</p>;1;Description;;0;1
19;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>fixation double extra-forte pour mâts de ø 30 à 50</p>;1;Description;;0;1
20;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>le kit préamplificateur de mât vka101 est conçu pour amplifier le signal de la tnt (dvb-t). Le gain est ajustable par potentiomètre sur chaque entrée. <br /><br />- fort gain 15-35 db (réglable) <br />- réjection lte/4g plus performante (typ:16 db, max:> 30 db)</p>;1;Description;;0;1
21;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>lnb fibre optique invacom 0,1 db - repoussez les limites de la distribution satellite!</p>;1;Description;;0;1
22;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>lnb single megasat</p>;1;Description;;0;1
23;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>megasat 5/12 multicommutateur autonome pour la réception d'un satellite avec une entrée antenne terrestre tnt et alimentation externe, et la distribution à un maximum de 12 utilisateurs (récepteurs).</p>;1;Description;;0;1
24;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>megasat 5/16 multicommutateur autonome pour la réception d'un satellite avec une entrée antenne terrestre tnt et alimentation externe, et la distribution à un maximum de 16 utilisateurs (récepteurs).</p>;1;Description;;0;1
25;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>megasat 9/16 multicommutateur autonome pour la réception de deux satellites avec une entrée antenne terrestre tnt et alimentation externe, et la distribution à un maximum de 16 utilisateurs (récepteurs).</p>;1;Description;;0;1
26;1070;X_ATTR_MP_X_ATTR_7700;Description;;0;<p>megasat multiswitch 5/8 1ter/1sat sur 8 demos full hd</p>;1;Description;;0;1
